# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur
;;Aydin;Tufan;m;1988;Kamp-Lintfort;Moers;Auszubildender zum Rechtsanwaltsfachangestellten;NW;113;Wesel I;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;
;;Aykal;Urban;m;1974;Berlin;Berlin;Politologe;BE;79;Berlin-Steglitz-Zehlendorf;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Azbak;Sahin;m;1968;Berlin;Erzincan;Angestellter;BE;81;Berlin-Tempelhof-Schöneberg;MENSCHLICHE WELT;Menschliche Welt;BE;MENSCHLICHE WELT;Menschliche Welt;1;
;;Babenhauserheide;Maik;m;1975;Enger;Bünde;Webdesigner;NW;133;Herford – Minden-Lübbecke II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Babic;Safet;m;1981;Trier;Hanau;Politologe (M. A.);RP;203;Trier;NPD;Nationaldemokratische Partei Deutschlands;;;;;
;;Babnik;Jan-Peter;m;1968;Koblenz;Kiel;Musikschullehrer;RP;199;Koblenz;EB: Babnik;Babnik;;;;;
;;Bach;Bela;w;1990;Planegg;Magdeburg;Studentin;BY;221;München-Land;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;20;
;;Bach;Sebastian Freimund;m;1982;Gotha;Gotha;Leiharbeiter;;;;;;TH;DIE LINKE;DIE LINKE;12;
;;Bacherle;Tobias;m;1994;Sindelfingen;Herrenberg;Student;BW;260;Böblingen;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;18;
;;Bachmann;Iris Margot;w;1947;Darmstadt;Darmstadt;Bibliothekarin i. R.;;;;;;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;17;
;;Bäckel;Markus;m;1970;Ortenberg;Gießen;Bankkaufmann;;;;;;HE;FREIE WÄHLER;FREIE WÄHLER;29;
;;Bader;Jürgen Albert Richard;m;1960;Hamburg;Hamburg;Drucker;HH;23;Hamburg-Bergedorf – Harburg;MLPD;Marxistisch-Leninistische Partei Deutschlands;HH;MLPD;Marxistisch-Leninistische Partei Deutschlands;7;
;;Bader;Werner;m;1942;Bonn;Oberhausen;freiberufl. Dozent;NW;96;Bonn;FREIE WÄHLER;FREIE WÄHLER;;;;;
;;Badra;Susanne Mervat;w;1991;Korschenbroich;Mönchengladbach;Verwaltungsfachangestellte / duale Studentin;NW;110;Krefeld I – Neuss II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Badran;Bastian;m;1979;Berlin;Berlin;Texter / Konzeptionierer;BE;77;Berlin-Reinickendorf;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;;
;;Badum;Lisa Hildegard;w;1983;Forchheim;Forchheim;Politikwissenschaftlerin;BY;236;Bamberg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;11;
;;Baehrens;Heike;w;1955;Stuttgart;Bevern;MdB / Diakonin;BW;263;Göppingen;SPD;Sozialdemokratische Partei Deutschlands;BW;SPD;Sozialdemokratische Partei Deutschlands;13;X
;;Baerbock;Annalena;w;1980;Potsdam;Hannover;Völkerrechtlerin;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;X
