# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur
;;Moritz;Karina;w;1980;Schwalmstadt;Schwalmstadt;Fachkrankenschwester;;;;;;HE;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;37;
;;Mörl;Ingo;m;1967;Leinfelden-Echterdingen;Leipzig;Umschüler;;;;;;BW;PIRATEN;Piratenpartei Deutschland;4;
;;Morro Costa;Enrico;m;1986;Fellbach;Stuttgart;Unternehmer;;;;;;BW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;8;
;;Mörseburg;Maximilian;m;1992;Stuttgart;Stuttgart;Student;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;42;
;;Mortler;Marlene;w;1955;Lauf a.d.Pegnitz;Lauf a.d.Pegnitz;MdB / Hauswirtschaftsmeisterin;BY;246;Roth;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;9;X
;;Mosblech;Volker;m;1955;Duisburg;Duisburg;MdB / selbst. Versicherungskaufmann;NW;116;Duisburg II;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;NW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;52;X
;;Mosca Spatz;Alexander;m;1994;Großostheim;Nürnberg;Student;BY;247;Aschaffenburg;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;42;
;;Moschner;Markus Georg;m;1973;Garbsen;Hannover;Tischlermeister;NI;43;Hannover-Land I;FREIE WÄHLER;FREIE WÄHLER;;;;;
;;Mosel;Tanita Christin;w;1996;Friedberg;Augsburg;Rettungssanitäterin;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;17;
;;Moseler;Christa;w;1960;Mainz;Meppen;Dipl.-Geologin;;;;;;RP;ÖDP;Ökologisch-Demokratische Partei;8;
;;Moser;Anneliese;w;1958;Wolfstein;Relsberg;Betriebswirtin;;;;;;RP;FDP;Freie Demokratische Partei;24;
;;Moser;Ingeborg;w;1961;Hohberg;Radolfzell am Bodensee;Unternehmensberaterin;;;;;;BW;DM;Deutsche Mitte;9;
;;Moser;Moritz;m;1997;Bexbach;Neunkirchen;Bundesfreiwilligendienstleistender;;;;;;SL;SPD;Sozialdemokratische Partei Deutschlands;15;
;;Moshammer;David Daniel;m;1988;Treuchtlingen;Treuchtlingen;Verwaltungsbeamter;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;10;
;;Mosler;Guido Mario;m;1967;Köln;Hüttental;Biologe;;;;;;NW;BGE;Bündnis Grundeinkommen;8;
;;Mosmann;Thomas;m;1972;Tuttlingen;Villingen-Schwenningen;Einzelhandelskaufmann;;;;;;BW;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;1;
;;Moss;Leona;w;1963;Berlin;Bad Windsheim;Lehrerin;;;;;;BE;DM;Deutsche Mitte;8;
;van der;Most;Karin;w;1963;Wuppertal;Gronau (Westf.);Dipl.-Sozialwissenschaftlerin;NW;103;Solingen – Remscheid – Wuppertal II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;44;
;;Mothes;Käty;w;1993;Falkenstein/Vogtl.;Rodewisch;Gesundheits- und Krankenpflegerin;;;;;;SN;DIE LINKE;DIE LINKE;11;
;;Motschmann;Elisabeth Charlotte;w;1952;Bremen;Lübeck;MdB / Staatsrätin a. D.;HB;54;Bremen I;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;HB;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;1;X
;;Movassat;Niema;m;1984;Oberhausen;Wuppertal;Jurist;NW;117;Oberhausen – Wesel III;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;6;X
;;Mpanu-Mpanu-Pl  ato;Nzimbu;w;1964;Fellbach;Kinshasa;Bildungsreferentin;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;40;
;;Mrosek;Andreas;m;1958;Dessau-Roßlau;Dessau;MdL / Dipl.-Ing. für Schiffsführung;ST;70;Dessau – Wittenberg;AfD;Alternative für Deutschland;ST;AfD;Alternative für Deutschland;4;
;;Mrotzeck;Dirk;m;1966;Hechingen;Berlin;Speditionskaufmann;BW;295;Zollernalb – Sigmaringen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;24;
;;Mueller;Alexander Hermann;m;1963;Bonn;Meinerzhagen;Informatiker;;;;;;NW;Die Humanisten;Partei der Humanisten;7;
;;Mühlenweg;Siegfried;m;1950;Vlotho;Brackwede (jetzt Bielefeld);Rentner;NW;133;Herford – Minden-Lübbecke II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;51;
;;Mühlmann;Alexander;m;1971;Hauenstein;Hamburg;Erzieher;RP;209;Kaiserslautern;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;RP;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;
;;Müller;Alexander;m;1969;Niedernhausen;Bendorf am Rhein;Dipl.-Informatiker;HE;178;Rheingau-Taunus – Limburg;FDP;Freie Demokratische Partei;HE;FDP;Freie Demokratische Partei;6;
;;Müller;Alexander;m;1979;München;München;Sachbearbeiter;BY;219;München-Süd;BP;Bayernpartei;;;;;
;;Müller;Andreas Werner;m;1992;Koblenz;Koblenz;Kommunikationskaufmann;RP;199;Koblenz;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;;
;;Müller;Antonia;w;1995;Schwielowsee;Berlin-Zehlendorf;Studentin;;;;;;BB;SPD;Sozialdemokratische Partei Deutschlands;17;
;;Müller;Axel;m;1963;Weingarten;Esslingen am Neckar;Richter;BW;294;Ravensburg;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;;;;;
;;Müller;Bernd;m;1978;Cottbus;Riesa;Journalist;;;;;;BB;DKP;Deutsche Kommunistische Partei;3;
;;Müller;Bettina;w;1959;Flörsbachtal;Wasserlos (jetzt Alzenau);MdB;HE;175;Main-Kinzig – Wetterau II – Schotten;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;8;X
;;Müller;Brigitte;w;1941;Schönwalde-Glien;Deibow;Rentnerin;BB;58;Oberhavel – Havelland II;DKP;Deutsche Kommunistische Partei;;;;;
;;Müller;Carsten;m;1970;Braunschweig;Braunschweig;Rechtsanwalt / Bankkaufmann;NI;50;Braunschweig;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;8;X
;;Müller;Claudia;w;1981;Stralsund;Rostock;Betriebswirtin;MV;15;Vorpommern-Rügen – Vorpommern-Greifswald I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;MV;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;
;;Müller;Clemens Carl;m;1993;Dresden;Leipzig;Student;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;7;
;;Müller;Detlef;m;1964;Chemnitz;Karl-Marx-Stadt (jetzt Chemnitz);Lokomotivführer;SN;162;Chemnitz;SPD;Sozialdemokratische Partei Deutschlands;SN;SPD;Sozialdemokratische Partei Deutschlands;4;X
;;Müller;Dunja;w;1979;Windeck;Waldbröl;Angestellte;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;9;
;;Müller;Eckhard;m;1954;Paderborn;Herbran;selbst. Dipl.-Psychologe;;;;;;NW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;20;
;;Müller;Edmund;m;1969;Werder (Havel);Neustadt an der Aisch;Dipl.-Ing. Maschinenbau;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;EB: Müller;Gerechtigkeit für Trennungsväter und Justizreformen;;;;;
;;Müller;Elke;w;1971;Münster;Castrop-Rauxel;Referentin;;;;;;NW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;63;
;;Müller;Ella;w;1986;Freiburg im Breisgau;Vorwerk;Historikerin;;;;;;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;35;
;;Müller;Felix;m;1975;Konstanz;Hamburg;Architekt;;;;;;BW;BGE;Bündnis Grundeinkommen;18;
Dr.;;Müller;Gerhard (Gerd);m;1955;Durach;Krumbach (Schwaben);MdB / Bundesminister;BY;256;Oberallgäu;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;5;X
;;Müller;Hansjörg Gerhard Georg;m;1968;Ainring;Treuchtlingen;selbst. Interimmanager;BY;225;Traunstein;AfD;Alternative für Deutschland;BY;AfD;Alternative für Deutschland;6;
;;Müller;Joachim Stefan;m;1973;Darmstadt;Gießen;Dipl.-Informatiker (FH);;;;;;HE;PIRATEN;Piratenpartei Deutschland;13;
Dr.;;Müller;Johannes;m;1969;Sebnitz;Dresden;Facharzt für Innere und Allgemeinmedizin;;;;;;SN;NPD;Nationaldemokratische Partei Deutschlands;5;
;;Müller;Johannes Alexander;m;1992;Hamburg;Gunzenhausen;Student;;;;;;HH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;
Dr.;;Müller;Kai;m;1974;Bad Marienberg (Westerwald);Kirchen (Sieg);Geschäftsführer;;;;;;RP;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;35;
;;Müller;Karolin;w;1987;Niedergörsdorf;Lutherstadt Wittenberg;Allround-Personalsachbearbeiterin;;;;;;BB;SPD;Sozialdemokratische Partei Deutschlands;11;
;;Müller;Klaus;m;1952;Windeck;Mittelsaurenbach;Maurer;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;14;
;;Müller;Lisa;w;1994;Dresden;Dresden;Studentin;;;;;;SN;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;2;
;;Müller;Matthias;m;1981;Berlin;Wolgast;med. Dokumentar;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;28;
;;Müller;Maurice Benjamin;m;1983;Bremerhaven;Kassel;Kommunikationswissenschaftler;HB;55;Bremen II – Bremerhaven;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;2;
;;Müller;Moritz Alexander;m;1992;Bensheim;Seeheim-Jugenheim;Student;HE;188;Bergstraße;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;10;
;;Müller;Norbert;m;1986;Potsdam;Wriezen;MdB / Student;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;DIE LINKE;DIE LINKE;BB;DIE LINKE;DIE LINKE;4;X
;;Müller;Olaf;m;1963;Jena;Varel;MdL / Geschäftsführer;TH;191;Jena – Sömmerda – Weimarer Land I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Müller;Peter;m;1961;Kempen;Krefeld;Industriekaufmann;NW;114;Krefeld II – Wesel II;AfD;Alternative für Deutschland;;;;;
;;Müller;Regina;w;1962;Windeck;Nümbrecht;Hausfrau;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;8;
;;Müller;Sascha;m;1970;Nürnberg;Essen;Landesschatzmeister;BY;245;Nürnberg-Süd;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;16;
;;Müller;Sascha;m;1986;Altenkirchen (Westerwald);San Carlos City, Philippinen;Industrieschlosser;RP;197;Neuwied;FREIE WÄHLER;FREIE WÄHLER;RP;FREIE WÄHLER;FREIE WÄHLER;5;
;;Müller;Sepp;m;1989;Gräfenhainichen;Lutherstadt Wittenberg;Dipl.-Bankbetriebswirt;ST;70;Dessau – Wittenberg;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;ST;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;6;
;;Müller;Stefan;m;1975;Großenseebach;Neustadt a.d.Aisch;MdB / parl. Staatssekretär;BY;242;Erlangen;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;11;X
;;Müller;Thomas;m;1954;Burgkunstadt;Hochstadt a.Main;Apotheker;BY;240;Kulmbach;ÖDP;Ökologisch-Demokratische Partei;BY;ÖDP;Ökologisch-Demokratische Partei;3;
;;Müller;Timo;m;1991;Idstein;Wiesbaden;Student;HE;178;Rheingau-Taunus – Limburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Müller;Wilhelm Dieter;m;1955;Völklingen;Saarbrücken-Dudweiler;Werkzeugmacher;SL;296;Saarbrücken;AfD;Alternative für Deutschland;SL;AfD;Alternative für Deutschland;2;
;;Müller-Böhm;Roman;m;1992;Mülheim an der Ruhr;Essen;Student;NW;117;Oberhausen – Wesel III;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;18;
;;Müller-Gemmeke;Beate;w;1960;Pliezhausen;Frankfurt am Main;MdB;BW;289;Reutlingen;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;7;X
;;Müller-Horn;Kai Michael;m;1944;Düsseldorf;Breslau;Architekt i. R.;NW;109;Mönchengladbach;EB: Müller-Horn;INTERNATIONALISTISCH;;;;;
;;Müller-Rosentritt;Frank;m;1982;Chemnitz;Karl-Marx-Stadt (jetzt Chemnitz);ltd. Angestellter / Geschäftsführer;SN;162;Chemnitz;FDP;Freie Demokratische Partei;SN;FDP;Freie Demokratische Partei;3;
;;Müller-Späth;Henning;m;1954;Dortmund;Weidenau (Siegen);Rentner;NW;143;Dortmund II;FREIE WÄHLER;FREIE WÄHLER;;;;;
;;Müllner;Lorena;w;1998;Altensteig;Nagold;Pflegehelferin FSJ;BW;280;Calw;DIE LINKE;DIE LINKE;;;;;
;;Multermann;Joachim;m;1969;Drensteinfurt;Hamm;Softwareentwickler;NW;130;Warendorf;AfD;Alternative für Deutschland;;;;;
;;Mültin;Manuel;m;1986;Karlsruhe;Karlsruhe;Rentner;;;;;;BW;DIE RECHTE;DIE RECHTE;1;
;;Multusch;Oliver Markus;m;1968;Mühldorf a.Inn;Wasserburg a.Inn;selbst. Maler und Lackierer;BY;212;Altötting;AfD;Alternative für Deutschland;;;;;
;;Münch-Steinbuch;Monika;w;1948;Stuttgart;Urbach;Narkoseärztin i. R.;;;;;;BW;DKP;Deutsche Kommunistische Partei;3;
;;Münder;Raimund Michael;m;1952;München;Regensburg;Berufsschullehrer;;;;;;BY;DKP;Deutsche Kommunistische Partei;1;
Dr.;;Mundt;Lothar;m;1940;Berlin;Berlin;Literaturwissenschaftler;BE;81;Berlin-Tempelhof-Schöneberg;AfD;Alternative für Deutschland;;;;;
;;Munir-Muuß;Alexandra Helga;w;1969;Frankfurt am Main;Memmingen;selbst. Gastronomin;;;;;;HE;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;2;
;;Müntefering;Michelle;w;1980;Herne;Herne;Journalistin;NW;141;Herne – Bochum II;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;30;X
;;Münz;Volker;m;1964;Uhingen;Verden (Aller);Bankkaufmann;BW;263;Göppingen;AfD;Alternative für Deutschland;BW;AfD;Alternative für Deutschland;8;
;;Münzenmaier;Sebastian;m;1989;Mainz;Darmstadt;Geschäftsführer;RP;205;Mainz;AfD;Alternative für Deutschland;RP;AfD;Alternative für Deutschland;1;
;;Münzing;David;m;1977;Stuttgart;Stuttgart;Systemadministrator;;;;;;BW;PIRATEN;Piratenpartei Deutschland;9;
;;Musah;Mohammed;m;1982;Schwerin;Malikiya, Syrien;selbständig;;;;;;MV;MLPD;Marxistisch-Leninistische Partei Deutschlands;4;
;;Musil;Michael;m;1947;Montabaur;Wiesbaden;Rentner;RP;204;Montabaur;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Muth;Martin;m;1989;Radebeul;München;ausbildungssuchend;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;12;
;;Mutlu;Özcan;m;1968;Berlin;Kelkit, Türkei;MdB / Dipl.-Ing. Nachrichtentechnik;BE;75;Berlin-Mitte;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;X
Dr.;;Mützenich;Rolf;m;1959;Köln;Köln;MdB;NW;95;Köln III;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;60;X
;;Mzyk;Agnieszka Monika;w;1976;Rottendorf;Tichau/Pleß, Polen;Bekleidungsingenieurin / Gesundheitspraktikerin;;;;;;BY;DM;Deutsche Mitte;4;
;;Nahles;Andrea;w;1970;Weiler;Mendig;MdB / Literaturwissenschaftlerin (M. A.);RP;198;Ahrweiler;SPD;Sozialdemokratische Partei Deutschlands;RP;SPD;Sozialdemokratische Partei Deutschlands;1;X
;;Nahlob;Ralf;m;1981;Leipzig;Halle (Saale);Fachwirt für Finanzberatung (IHK);;;;;;SN;AfD;Alternative für Deutschland;20;
;;Nahouli;Doreen;w;1969;Berlin;Brandenburg an der Havel;med.-techn. Radiologieassistentin;;;;;;BE;DM;Deutsche Mitte;6;
;;Nährig;Janina Daniela;w;1980;Hamburg;Hamburg;Dipl.-Verwaltungswirtin;;;;;;HH;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;7;
;;Nan;Christian;m;1959;Heilbronn;Fogarasch;Servicetechniker;;;;;;BW;DM;Deutsche Mitte;14;
;;Napp;Stephanie;w;1986;Greifswald;Rostock;Angestellte;;;;;;MV;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;5;
;;Nasdala;Dirk;m;1966;Hoyerswerda;Berlin;Rechtsanwalt;;;;;;SN;FREIE WÄHLER;FREIE WÄHLER;4;
;;Nass;Michael;m;1963;Kirchhain;Marburg;Ingenieur;;;;;;HE;SPD;Sozialdemokratische Partei Deutschlands;35;
;;Nastic;Zaklin;w;1980;Hamburg;Gdynia, Polen;Angehörigenpflegerin;HH;20;Hamburg-Eimsbüttel;DIE LINKE;DIE LINKE;HH;DIE LINKE;DIE LINKE;2;
;;Natke;Stefan;m;1958;Berlin;Emsdetten;Zimmerer;;;;;;BE;DKP;Deutsche Kommunistische Partei;1;
;;Natterer;Christian;m;1981;Wangen im Allgäu;Tettnang;Dipl.-Kaufmann;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;9;
;;Naumann;Felix;m;1990;Düsseldorf;Leipzig;Student;;;;;;NW;BGE;Bündnis Grundeinkommen;2;
;;Naumann;Lisa-Marie;w;1995;Röhrmoos;München;Auszubildende zur Friedhofsgärtnerin;;;;;;BY;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;13;
;;Navel;Hermann;m;1948;Wassenberg;Kirchgandern;Elektromeister;NW;89;Heinsberg;AfD;Alternative für Deutschland;;;;;
;;Nazarenus-Vetter;Albina;w;1974;Frankfurt am Main;Podsosnowo, Russland;Geschäftsführerin;;;;;;HE;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;23;
;;Neama;Nadi Habib;m;1993;Werne;Siegen;Altenpfleger;;;;;;NW;Gesundheitsforschung;Partei für Gesundheitsforschung;5;
;;Nebel;Arjuna;m;1983;Düsseldorf;Hamburg;Wissenschaftler;;;;;;NW;DiB;DEMOKRATIE IN BEWEGUNG;5;
;;Nedden;Astrid Verena;w;1967;Essen;Kettwig (jetzt Essen);Rechtsanwältin / FAin für Steuerrecht;;;;;;NW;BGE;Bündnis Grundeinkommen;1;
;;Nedog;Jonny;m;1954;Erlensee;Offenbach;Dipl.-Bauingenieur;HE;180;Hanau;AfD;Alternative für Deutschland;;;;;
;;Nehls;Michael;m;1961;Rheinsberg;Rathenow;selbst. Versicherungsmakler e. K.;BB;56;Prignitz – Ostprignitz-Ruppin – Havelland I;AfD;Alternative für Deutschland;BB;AfD;Alternative für Deutschland;12;
;;Nejedlo;Stefanie;w;1981;Leutershausen;Ansbach;Politikwissenschaftlerin;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;49;
;;Nelson;Jürgen Emil;m;1960;Wörth am Rhein;Karlsruhe;Dipl.-Ingenieur;;;;;;RP;SPD;Sozialdemokratische Partei Deutschlands;34;
;;Nerb;Sarah;w;1982;Regensburg;Roth;Pressesprecherin;;;;;;BY;SPD;Sozialdemokratische Partei Deutschlands;49;
;;Nestle;Ingrid;w;1977;Kiel;Schwäbisch Gmünd;Dipl.-Wirtschaftsingenieurin;SH;3;Steinburg – Dithmarschen Süd;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;SH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;3;
;;Netzel;Olaf;m;1979;Hennigsdorf;Bergen auf Rügen;Haustechniker;;;;;;BB;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;3;
Dr.;;Neu;Alexander;m;1969;Köln;Harmonie (jetzt Eitorf);Politikwissenschaftler;NW;97;Rhein-Sieg-Kreis I;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;10;X
;;Neuberger;Gerhard;m;1978;Dornstadt;Ulm;Angestellter;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;11;
;;Neubert;Falk;m;1974;Mittweida;Dresden;MdL;SN;161;Mittelsachsen;DIE LINKE;DIE LINKE;;;;;
;;Neubert;Frank;m;1970;Sonneberg;Sonneberg;Einrichter;;;;;;TH;NPD;Nationaldemokratische Partei Deutschlands;10;
;;Neubert;Gunther;m;1958;Düren;Lohr a.Main;Fachverkäufer;NW;90;Düren;PIRATEN;Piratenpartei Deutschland;;;;;
;;Neubert;Jens Henry;m;1965;Salzgitter;Gerolstein;selbst. Gartenbautechniker;NI;49;Salzgitter – Wolfenbüttel;FDP;Freie Demokratische Partei;NI;FDP;Freie Demokratische Partei;28;
;;Neudert;Thomas;m;1975;Wolnzach;Tirschenreuth;Dipl.-Kaufmann;BY;214;Freising;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;45;
;;Neudorfer;Reinhard;m;1946;Waiblingen;München;Rehabilitationsberater i. R.;BW;264;Waiblingen;DIE LINKE;DIE LINKE;;;;;
Dr.;;Neuendorf;Dieter;m;1953;Berlin;Prenzlau;Facharzt;BE;77;Berlin-Reinickendorf;AfD;Alternative für Deutschland;;;;;
;;Neuhof;Anna;w;1952;Kirchen (Sieg);Wissen/Sieg;Krankenschwester;RP;197;Neuwied;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;RP;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;13;
;;Neuhoff;Torsten;m;1969;Bremerhaven;Bremerhaven;Sparkassenkaufmann;;;;;;HB;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;3;
;;Neumann;Andrea;w;1967;Neunkirchen;Neunkirchen;Angestellte;;;;;;SL;DIE LINKE;DIE LINKE;2;
;;Neumann;Bernhard;m;1985;Kolbermoor;Rosenheim;Pflegefachhelfer;BY;222;Rosenheim;BP;Bayernpartei;;;;;
;;Neumann;Christoph;m;1964;Leipzig;Leipzig;Dipl.-Ing. Pädagoge;SN;152;Leipzig I;AfD;Alternative für Deutschland;SN;AfD;Alternative für Deutschland;11;
;;Neumann;Eveline Juliana;w;1949;Jüterbog;Berlin;Pensionärin;;;;;;BB;SPD;Sozialdemokratische Partei Deutschlands;29;
Dr.;;Neumann;Hannah;w;1984;Berlin;Speyer;Beraterin;BE;86;Berlin-Lichtenberg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;7;
Prof. Dr.;;Neumann;Martin;m;1956;Vetschau/Spreewald;Vetschau;Hochschullehrer / beratender Ingenieur;BB;65;Elbe-Elster – Oberspreewald-Lausitz II;FDP;Freie Demokratische Partei;BB;FDP;Freie Demokratische Partei;2;
;;Neumann;Matthias Thomas;m;1959;Potsdam;Potsdam-Babelsberg;Dipl.-Ingenieur (FH);;;;;;BB;BGE;Bündnis Grundeinkommen;1;
;;Neumann;Sebastian Jerry;m;1991;Lübbecke;Ostercappeln;Student / Altenpflegefachkraft;NW;134;Minden-Lübbecke I;DIE LINKE;DIE LINKE;;;;;
;;Neumeister;Annika;w;1987;Arnsberg;Arnsberg;Lehrerin;NW;147;Hochsauerlandkreis;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;21;
;;Neumeyer;Richard Alexander Michael;m;1969;Taufkirchen;München;Dipl.-Wirtschaftsingenieur;;;;;;BY;DM;Deutsche Mitte;6;
;;Neuner;Andreas Helmut;m;1968;Rückersdorf;Nürnberg;Kunsthändler;BY;246;Roth;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;52;
;;Ney;Michael Erwin Walter;m;1969;Magdeburg;Oberhausen;Dipl.-Sozialwirt / Bildungsreferent;;;;;;ST;DIE LINKE;DIE LINKE;10;
;;Ney;Thomas;m;1986;Berlin;Hennigsdorf;Lehrer;BB;58;Oberhavel – Havelland II;PIRATEN;Piratenpartei Deutschland;;;;;
Dr.;;Ngassa;Emmanuel Anyangwe;m;1966;Witzenhausen;Victoria, Kamerun;Facharzt für Allgemeine Chirurgie;HE;169;Werra-Meißner – Hersfeld-Rotenburg;FREIE WÄHLER;FREIE WÄHLER;;;;;
;;Nguyên;Franz;m;1963;Bad Heilbrunn;Lenggries;Maschinenbediener;;;;;;BY;BP;Bayernpartei;25;
;;Nianur;Narziss;w;1964;Hamburg;Kiel;Sozialpädagogin;HH;19;Hamburg-Altona;MLPD;Marxistisch-Leninistische Partei Deutschlands;HH;MLPD;Marxistisch-Leninistische Partei Deutschlands;3;
Dr.;;Nick;Andreas;m;1967;Montabaur;Koblenz-Moselweiß;MdB / Dipl.-Kaufmann;RP;204;Montabaur;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;RP;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;12;X
Dr.;;Nick;Ophelia;w;1973;Wülfrath;Herdecke;Tierärztin;NW;105;Mettmann II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;15;
Dr.;;Nickel;Jörg;m;1967;Kiel;Hamburg;Meeresbiologe;;;;;;SH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;
