Adresse,Stimmart,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",OstWest,Wahlberechtigte insgesamt,Wahlberechtigte A1,Wahlberechtigte A2,Wahlberechtigte A3,Wähler,Wähler B1,Ungültige Stimmen,Gültige Stimmen,CDU,SPD,DIE LINKE,GRÜNE,AfD,PIRATEN,FDP,Die PARTEI,FREIE WÄHLER,ÖDP,BüSo,MLPD,SGP,B*,BGE,DiB,DKP,DM,Die Grauen,du.,MENSCHLICHE WELT,"Gesundheits-
forschung","Tierschutz-
partei",V-Partei³,DIE FRAUEN,EB Schirm,EB Felde-Bajerowitz,EB Fielsch,EB Wendt,EB Blume,EB Pape,EB Beckmann,MIETERPARTEI,NPD,EB Ritter,EB Hasel,EB Snelinski
01W224,1,01,Mitte,224,W,02,75,O,838,586,252,0,402,3,5,397,75,79,134,40,39,0,14,8,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W225,1,01,Mitte,225,W,02,75,O,1380,933,447,0,683,1,6,677,138,137,206,57,80,0,30,14,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W226,1,01,Mitte,226,W,02,75,O,764,592,172,0,407,7,12,395,58,69,160,19,66,0,8,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W227,1,01,Mitte,227,W,02,75,O,1369,954,415,0,726,7,1,725,97,153,211,140,54,0,27,40,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W228,1,01,Mitte,228,W,02,75,O,2319,1504,815,0,1100,12,15,1085,216,249,202,233,69,0,64,39,3,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01B2A,1,01,Mitte,2A,B,02,75,O,0,0,0,0,2147,2147,12,2135,612,385,474,164,197,0,238,37,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
01B2B,1,01,Mitte,2B,B,02,75,O,0,0,0,0,1859,1859,24,1835,394,386,459,248,123,0,141,55,6,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
01B2C,1,01,Mitte,2C,B,02,75,O,0,0,0,0,1592,1592,13,1579,359,259,400,269,106,0,120,34,9,8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
01B2D,1,01,Mitte,2D,B,02,75,O,0,0,0,0,1217,1217,10,1207,202,246,421,91,129,0,60,28,6,3,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
01B2E,1,01,Mitte,2E,B,02,75,O,0,0,0,0,1460,1460,10,1450,304,273,433,182,104,0,94,36,7,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
01B2F,1,01,Mitte,2F,B,02,75,O,0,0,0,0,1720,1720,19,1701,345,353,397,276,108,0,127,56,9,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
01W300,1,01,Mitte,300,W,03,75,W,1311,1003,308,0,613,7,7,606,104,141,142,98,41,0,34,36,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
01W301,1,01,Mitte,301,W,03,75,W,880,630,250,0,454,5,8,446,62,92,135,81,32,0,19,16,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W302,1,01,Mitte,302,W,03,75,W,1192,906,286,0,577,5,8,569,84,148,116,96,47,0,31,36,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W303,1,01,Mitte,303,W,03,75,W,895,699,196,0,427,7,7,420,69,115,79,74,41,0,14,9,4,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W304,1,01,Mitte,304,W,03,75,W,948,688,260,0,530,8,10,520,84,135,82,117,41,0,36,15,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W305,1,01,Mitte,305,W,03,75,W,1054,723,331,0,564,1,11,553,109,154,74,120,45,0,32,11,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W306,1,01,Mitte,306,W,03,75,W,1373,920,453,0,714,9,6,708,77,183,150,198,37,0,32,25,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W307,1,01,Mitte,307,W,03,75,W,1147,824,323,0,660,3,13,647,146,172,92,120,58,0,41,11,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W308,1,01,Mitte,308,W,03,75,W,1160,812,348,0,637,6,4,633,78,181,109,173,30,0,43,14,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W309,1,01,Mitte,309,W,03,75,W,1284,887,397,0,734,14,8,726,114,212,124,174,43,0,39,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W310,1,01,Mitte,310,W,03,75,W,907,618,289,0,489,4,13,476,79,132,73,106,28,0,35,17,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W311,1,01,Mitte,311,W,03,75,W,1054,639,415,0,482,6,6,476,65,138,73,120,34,0,28,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W312,1,01,Mitte,312,W,03,75,W,795,494,301,0,380,7,2,378,53,117,63,90,22,0,19,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W313,1,01,Mitte,313,W,03,75,W,834,571,263,0,413,7,2,411,79,118,65,82,27,0,31,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W314,1,01,Mitte,314,W,03,75,W,1102,804,298,0,563,4,17,546,131,142,76,82,47,0,47,13,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W315,1,01,Mitte,315,W,03,75,W,838,605,233,0,389,5,10,379,80,84,73,77,22,0,23,16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W316,1,01,Mitte,316,W,03,75,W,1217,979,238,0,642,6,22,620,133,181,101,64,64,0,47,20,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W317,1,01,Mitte,317,W,03,75,W,754,564,190,0,387,0,4,383,81,98,70,66,29,0,20,14,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W318,1,01,Mitte,318,W,03,75,W,1125,726,399,0,548,6,8,540,143,153,78,80,32,0,41,8,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W319,1,01,Mitte,319,W,03,75,W,1007,631,376,0,476,3,3,473,101,137,61,86,32,0,37,12,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W320,1,01,Mitte,320,W,03,75,W,599,385,214,0,322,4,2,320,64,88,34,73,26,0,29,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W321,1,01,Mitte,321,W,03,75,W,1020,672,348,0,477,3,9,468,123,120,54,76,40,0,38,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W322,1,01,Mitte,322,W,03,75,W,1133,772,361,0,488,3,7,481,132,133,65,53,45,0,33,9,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W323,1,01,Mitte,323,W,03,75,W,1181,810,371,0,612,6,6,606,162,147,78,83,64,0,53,13,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W324,1,01,Mitte,324,W,03,75,W,1603,1047,556,0,634,0,12,622,181,147,94,75,49,0,60,6,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W325,1,01,Mitte,325,W,03,75,W,1001,763,238,0,403,0,8,395,88,121,62,62,28,0,23,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W326,1,01,Mitte,326,W,03,75,W,1194,845,349,0,595,0,4,591,120,157,127,96,38,0,32,12,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W327,1,01,Mitte,327,W,03,75,W,1494,1059,435,0,703,14,5,698,116,181,115,184,28,0,36,22,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
01B3A,1,01,Mitte,3A,B,03,75,W,0,0,0,0,1256,1256,12,1244,217,302,226,290,55,0,89,35,4,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
01B3B,1,01,Mitte,3B,B,03,75,W,0,0,0,0,1683,1683,6,1677,285,482,221,424,83,0,117,41,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
01B3C,1,01,Mitte,3C,B,03,75,W,0,0,0,0,1390,1390,11,1379,293,347,190,321,68,0,104,29,5,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
01B3D,1,01,Mitte,3D,B,03,75,W,0,0,0,0,1287,1287,19,1268,326,346,141,203,81,0,131,23,6,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
01B3E,1,01,Mitte,3E,B,03,75,W,0,0,0,0,1722,1722,14,1708,538,379,174,215,138,0,202,32,5,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
01B3F,1,01,Mitte,3F,B,03,75,W,0,0,0,0,925,925,9,916,164,222,147,225,41,0,75,26,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
01W400,1,01,Mitte,400,W,04,75,W,1365,1034,331,0,640,6,13,627,115,145,140,95,55,0,36,25,4,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W401,1,01,Mitte,401,W,04,75,W,940,744,196,0,468,5,13,455,48,100,121,90,44,0,22,18,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W402,1,01,Mitte,402,W,04,75,W,1317,1088,229,0,630,2,19,611,70,130,170,104,65,0,23,31,1,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
01W403,1,01,Mitte,403,W,04,75,W,1019,746,273,0,509,8,11,498,74,124,127,96,26,0,22,23,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W404,1,01,Mitte,404,W,04,75,W,709,547,162,0,354,4,9,345,66,76,103,54,19,0,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W405,1,01,Mitte,405,W,04,75,W,797,623,174,0,407,0,11,396,55,93,101,68,34,0,17,16,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W406,1,01,Mitte,406,W,04,75,W,854,641,213,0,453,9,7,446,56,117,97,92,31,0,15,21,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
01W407,1,01,Mitte,407,W,04,75,W,1204,908,296,0,647,11,15,632,121,143,132,105,57,0,42,27,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W408,1,01,Mitte,408,W,04,75,W,1004,732,272,0,555,7,8,547,84,122,145,117,29,0,24,20,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W409,1,01,Mitte,409,W,04,75,W,965,697,268,0,496,2,5,491,75,126,123,85,35,0,19,14,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W410,1,01,Mitte,410,W,04,75,W,1286,933,353,0,694,8,42,652,116,140,169,149,32,0,27,3,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
01W411,1,01,Mitte,411,W,04,75,W,1090,803,287,0,529,0,16,513,69,138,111,100,30,0,29,27,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W412,1,01,Mitte,412,W,04,75,W,905,649,256,0,460,0,8,452,72,100,111,88,31,0,19,27,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
